Title,Year,Votes,Rank,run time
Kadhalum Kadanthu Pogum,2016,929,7.3,
Teen Kanya,1961,917,8.1,
Biriyani,2013,892,6.5,
Duniyadari,2013,885,7.7,
Anarkali,2015,857,7.2,
Varuthapadatha Valibar Sangam,2013,846,6.9,
Sapthamashree Thaskaraha,2014,842,7.2,
Srabon Megher Din,2000,832,8.2,
Pannaiyarum Padminiyum,2014,830,7.6,
Attagasam,2004,825,6.8,
Su Su Sudhi Vathmeekam,2015,805,7.8,
Shyamol Chhaya,2004,804,8.2,
Santhosh Subramaniyam,2008,803,7.3,
Thenmavin Kombath,1994,802,7.9,
Rajathandhiram,2015,798,7.5,
Stalin,2006,798,6.4,
Oru Kal Oru Kannadi,2012,771,6.6,
Pattana Pravesham,1988,756,7.9,
Minsaara Kanavu,1997,740,7.1,
Siruthai,2011,740,6.4,
Kaaki Sattai,2015,722,6.5,
Meesha Madhavan,2002,719,7.7,
Abhijaan,1962,716,8,
Immanuel,2013,714,7.2,
100 Days of Love,2015,711,6.9,
Killa,2014,704,8.1,
Endrendrum Punnagai,2013,703,7,
Chaappa Kurish,2011,701,7.3,
Krishna Gaadi Veera Prema Gaadha,2016,689,7.5,
Aaru,2005,687,6.4,
Dr. Prakash Baba Amte: The Real Hero,2014,686,8.4,
Goa,2010,682,6.9,
Romeo Juliet,2015,668,6.5,
Mirapakai,2011,651,6.8,
Punyalan Agarbattis,2013,645,7.3,
Vel,2007,644,6.5,
